"WaterYear","Month","T0","T1","T3","T5"
1,10,36074.5471115568,15601.2930769432,14714.5297258678,13963.6819727543
1,11,21080.3840012605,16907.1111291868,16075.0624262679,15403.8427800656
1,12,18184.0111854507,17396.5355096676,16709.376409724,16115.403209031
1,1,15973.4649326096,15629.457456867,21087.4689494572,13919.746186834
1,2,181033.328628602,162465.344929426,224628.279429172,117263.596894541
1,3,233507.046388434,233124.165720342,235354.034535484,331812.191683665
1,4,142762.252892528,133379.771810323,126056.017656097,109817.052278523
1,5,77394.2320047493,75672.778257293,56294.8357469733,42387.6664214933
1,6,71410.7890712521,60216.3171877897,19787.1166994375,16738.5620265852
1,7,29107.7736220041,26634.5837765776,13629.998846171,12636.3291394235
1,8,22930.8579518192,21829.2413047545,12729.9747900639,10907.7060163263
1,9,22095.8026296969,21213.9205278594,11978.3739000655,10775.2661058861
2,10,27220.4333088262,26509.0945387822,16988.2403330827,13478.6372127692
2,11,24061.1434084899,23442.4050441935,15089.6263977831,12032.5689976208
2,12,24690.0273681548,24164.7685452006,17044.3514312871,14791.1270199083
2,1,23139.2546783869,22493.0929054215,14460.0316982281,12049.7845690807
2,2,23331.2533381558,22795.1008546055,15761.926036749,13352.3261356357
2,3,94741.6880927485,93501.7682199885,118383.598606811,41578.9399251505
2,4,125112.994648371,122745.536473477,121862.402508481,179408.038417569
2,5,58432.8229182703,57298.163597356,44952.5480349209,51044.6652908398
2,6,20369.1583710199,19606.106099232,16507.765434129,15806.788043808
2,7,14265.7303249971,13338.3396985556,11376.4960280457,10005.1722105893
2,8,13748.1599980354,12785.0913992979,11012.1625894735,9406.22614950303
2,9,11893.4417891107,11037.3245623507,9515.65190537162,8282.44688481777
3,10,20549.9437109639,19863.7625555593,16447.220539763,15388.2088053779
3,11,93339.8934790649,94444.4072503376,15923.8694141388,14859.2685280185
3,12,92752.6808336267,104596.727714102,127213.800562211,16682.5678261059
3,1,229332.264871573,262467.963706332,280644.02424387,197398.879094183
3,2,242150.828908867,244458.451340712,407041.351534403,524718.936916401
3,3,211140.751806373,243791.455737743,359151.061839555,319343.098222686
3,4,127377.276301711,98862.331442576,66785.3124699088,49867.3602191579
3,5,80850.920421978,54876.1296306682,38704.0406118999,27962.1185909097
3,6,31503.2333684648,20796.6724350662,17476.2056964221,13657.9860127191
3,7,41552.1287577156,15462.0316394207,12983.0686822292,9870.1800861194
3,8,25190.8063977408,14414.661093728,12222.5201760546,9358.14879081428
3,9,22496.8774692706,12907.5457066097,10343.4365968709,7692.24467282563
4,10,27479.4160965379,18337.7500480773,13829.4880242333,10122.0383486788
4,11,24705.3013945351,17282.3364669848,13251.6049863943,10742.6997017288
4,12,31462.3458393513,24686.9091331511,22353.4607153544,21019.9488554045
4,1,27146.6449463992,20594.2902443409,17953.80155857,16378.8728157156
4,2,236823.10301835,219064.688161348,22223.8740383365,127368.158740682
4,3,290780.455594628,297697.365968463,210561.270711749,336454.897053032
4,4,225129.375409053,220089.556760335,194693.890850721,159812.105828269
4,5,170741.173861862,142154.89022155,130090.390317728,59673.1118273273
4,6,121972.763495756,96912.1022762635,99904.9571902737,19916.2883608417
4,7,132971.872607305,131204.543918495,33929.3115296509,13228.7960273263
4,8,42668.5626506066,42248.6064002925,23452.6968943568,11889.2476999927
4,9,26650.5073303225,26086.0921820247,21034.1862761906,9640.70870140418
5,10,31415.6364899665,30069.0215994079,26926.7596256668,16338.0602838858
5,11,28375.8903319812,27894.3370241584,25870.9723377005,17771.2585886479
5,12,38016.928839136,35873.3145567573,90841.667652232,42385.6131364313
5,1,128908.346470913,155584.036119646,224408.051788109,265404.2140876
5,2,157848.665955383,165730.715993253,153379.90141018,145015.082231766
5,3,124737.234854607,126404.881974198,108138.820367845,102838.288921069
5,4,235067.993110026,232334.214004836,266446.504013489,376010.767010557
5,5,132501.448772938,101213.970774618,68343.5897019232,61468.8834084653
5,6,84550.891625217,47883.6106144966,22808.8543034385,20387.7830176829
5,7,68120.1209086548,40919.5612671379,15790.5822406823,13275.4032114801
5,8,29951.9602360403,25297.2063703003,14219.8983639354,11870.9412784358
5,9,57840.0052508581,25525.8331437725,12416.3951972034,10063.0815278274
6,10,87631.7089223616,80436.7032992049,18094.1001204109,15853.6409512211
6,11,35700.3809109321,34592.0523129702,16066.803332335,14058.7503706407
6,12,27016.4635427412,26101.0178489896,15923.5314107298,14089.3561250384
6,1,25737.9997555422,24987.840555167,16157.8659435614,14424.8011328507
6,2,23686.8429061857,52149.1549692566,27395.4933567089,12564.4496168853
6,3,43426.9506468733,47160.5756179981,50306.3401473097,12440.54073658
6,4,26987.9489382787,23565.2793990862,30115.0154640825,14316.8405638816
6,5,23327.0551954266,19515.2576843497,19180.5879884788,13874.3582958287
6,6,12680.8522409581,11424.1335810638,10850.2562948923,6685.75519164808
6,7,10583.2198725583,9803.31589841744,9498.20595802663,5901.81829684758
6,8,10768.2875952527,10033.4588962473,8114.53701278778,6134.29989955239
6,9,9699.64054087379,8971.77625655692,7315.97688729015,4001.73565251544
7,10,14373.2453385428,13749.4452307831,12205.1335386771,6729.77151663694
7,11,14448.2945622343,13898.0191407756,12466.8935888784,9153.25648822701
