"WaterYear","Month","T0","T1","T3","T5"
1,10,25566.3936483453,23217.2497376998,22304.0460370047,22046.5728020296
1,11,12234.1618106686,11669.6410762279,11212.2023719006,11285.8945748169
1,12,9667.67970135087,9897.13649486595,8978.20937820376,10476.9316548699
1,1,11264.6222403437,11026.0717515308,8092.99561690537,11329.1572770298
1,2,16571.5186258132,15714.9887820519,15750.9023368158,13551.8674185378
1,3,15610.3320693857,15032.7931701715,14178.9016884163,14509.1909658634
1,4,44596.7000970963,24495.9406318848,16045.1477606714,15210.1795246303
1,5,40380.2676488043,23483.1233683425,19103.8174371245,20291.539310872
1,6,19719.922725522,17202.2700392745,9051.06187720038,9184.54904413091
1,7,11862.5748856003,10464.289444059,7620.33698479721,7146.16381748586
1,8,17275.8610969761,16931.2001145848,14269.7951424127,12318.3556566914
1,9,13150.0815809718,11920.7574580733,10640.1600683136,9704.10116899671
2,10,26274.1090933971,23681.5973643703,22435.6049793091,21558.5034303228
2,11,11562.953265694,12028.8355260935,12141.4795040009,9727.58912679923
2,12,10719.9148269974,11533.7656164405,12198.4864667944,8743.2338404558
2,1,11070.7370603433,11300.6094694868,11198.7940110406,6905.06259342932
2,2,17295.1237195094,17920.9287559289,11144.5950047138,7033.89425727066
2,3,16703.0446349311,16769.8393354498,15696.963370954,12978.6048612297
2,4,45158.6240024647,25181.4951082307,16935.1308576594,17207.5542383503
2,5,39410.6741874049,24225.4626199163,20080.9507805447,11112.6619085287
2,6,23055.6621011401,25207.5451904775,9564.99413759741,4410.13775295611
2,7,11312.3912706012,10617.3836907874,7143.55494347363,3816.88622530475
2,8,15222.2485441774,14616.6893692822,12645.4271257251,3819.78504474868
2,9,11893.0170441185,10606.4507753358,9545.3140709031,4810.06254471854
3,10,27759.9821038486,27312.9687482494,22844.2284348875,18948.2149247556
3,11,14472.467609328,14288.5162505194,11251.2250533356,8765.17693403775
3,12,14602.7411297798,14522.0514779436,14062.172284356,9147.92410263542
3,1,20019.9788825989,19855.2467142843,19300.1280885307,17258.782043827
3,2,16904.5841789058,16464.1585472293,16330.8043439278,15162.7651666375
3,3,15119.047006892,14883.9250201008,14689.2493707638,12824.9901630581
3,4,44926.0739115446,43750.9565941876,15196.074446191,15889.8264759251
3,5,41968.3245327276,41339.3869919873,20870.56820432,20908.8072104002
3,6,17616.1258513388,22071.2707458613,9218.22653222985,8673.53587081211
3,7,14173.8301477537,11670.6467530449,7530.39843514942,6123.24405289346
3,8,17928.2596972826,15917.120031446,13887.5866381895,11350.4400578172
3,9,13256.1135731445,12507.596183293,10312.7610930476,8497.76916969479
4,10,26522.3636298736,26856.1481782143,26477.4873273514,22846.2128399219
4,11,11905.9015947544,11853.082659103,11667.3291053341,10303.8804025646
4,12,15551.427644584,15313.8595340329,15076.4031709888,14159.8562713493
4,1,12925.0751988189,12300.2003413896,11685.8355000341,10324.6896177239
4,2,21166.0888954566,20284.6181437936,16742.7118693756,18245.5072573801
4,3,51006.3400871664,18490.3427607252,17102.46192956,16744.5142423292
4,4,50311.3917281494,47335.190624555,46281.6584226473,26089.4912840203
4,5,52397.8841948863,44668.6285578221,42709.5981119758,21561.2677369836
4,6,37032.5113858071,24213.2033074021,22559.0126567803,9756.0384839329
4,7,20595.6922045716,18660.4779222858,16473.5165729188,7417.78146099079
4,8,19559.0038048473,19811.8169034022,18813.2895568259,7169.44817702908
4,9,15123.5699854195,13870.1883465469,12715.8742162249,8078.20200542113
5,10,28352.0454496215,27018.4442100934,26918.439174633,20324.6733652313
5,11,14813.3237014738,14531.1819929092,13833.9841710666,11979.7397161004
5,12,17241.8429685869,17079.3884073347,17047.9200896458,14876.6769829962
5,1,17236.5363892192,17551.190844876,17299.1024639397,16101.4075261344
5,2,14817.1609093946,14825.7907022476,13903.8629149099,12482.1804951691
5,3,16277.1408022455,11180.4445723532,9737.22777550748,8383.13700940952
5,4,50860.993243374,49414.8021965439,48733.104913505,29158.3350746116
5,5,44166.0496864319,43392.3371711084,41154.135419122,21250.7059647942
5,6,22330.2108274395,18604.4192609323,16679.3600616967,9115.94412894498
5,7,17521.0596316843,12339.3277258132,10181.4012791007,6655.5492620509
5,8,18776.6576425037,11179.9050136787,9220.57883811227,6349.80804397166
5,9,15083.5924518236,12647.584535377,10637.0353115977,7813.00275099124
6,10,24634.1431077557,23004.981367364,19776.6634184527,18215.428988847
6,11,11727.862746368,11243.396119624,9326.24137774558,8384.94127821635
6,12,9997.72224875475,9240.63154432933,7570.79152881506,6359.66995213547
6,1,10801.8649348618,9720.40719012814,8123.75073586135,6951.40057268248
6,2,9431.10041240031,9755.9037285839,7588.21949809681,6056.66870734235
6,3,8869.91767269487,8323.5847459717,6908.53644994332,4753.98972628356
6,4,12335.3080269953,11465.8767795836,10280.983591644,8561.69060780376
6,5,11190.2453768,10093.484136303,8727.2903646931,7037.74857997754
6,6,5336.02851430201,4220.45557954053,3287.76791428497,2015.98110343122
6,7,4848.67892354143,3687.63333274122,2729.09974099799,1553.81399047777
6,8,4837.03994819944,3528.43630101342,2280.92445643299,1561.99945519624
6,9,5895.71672942432,4421.6397456898,2960.44199563803,1456.46772981781
7,10,23019.4238308967,21698.5205877283,15538.4014430498,13473.7452436898
7,11,9805.98103635819,8866.93315552294,6913.6466007327,5706.75801261915
7,12,8757.16688119514,7834.59235667683,6570.48672280308,5216.39256433667
7,1,7458.31082816804,6634.8032611104,5318.95723954253,4088.28884458705
7,2,10450.654507146,9978.46510973556,9594.70327593694,10926.6168524497
7,3,9668.12584990475,9865.52785313674,10980.2703127593,9397.06494014685
7,4,45656.5123236598,44904.0098377003,18191.7226468048,16815.6459605522
7,5,41775.1584051762,40140.4851633331,17029.7379594008,11123.4908934917
7,6,17142.9576964037,15282.9250824115,7642.91528076979,3410.63348973366
7,7,10075.923618244,8688.86864721498,5542.42506685007,2638.41414565884
7,8,8956.75570858352,7851.9783786349,9729.73500937781,2781.38649462321
7,9,10219.2415820686,9204.90566449298,7983.89046458121,4055.86586994766
8,10,21025.3167036555,19895.4162729476,17745.351938804,14756.908725801
8,11,9780.78730049024,8955.71691307459,8111.98794779764,5750.57150515329
8,12,8128.17387542043,7321.99007225519,6745.43834387172,4686.15319977151
8,1,8429.19647957953,7663.46254688829,6965.51068912513,5064.95112788835
8,2,14141.1908184694,12798.378708735,9715.54589866758,6927.13985493705
8,3,8360.71795939517,7725.91413122918,6977.71405724783,2685.90760603599
8,4,25803.5063821665,25420.9146761962,18135.2151745443,15868.5673250273
8,5,18507.0778902532,17743.6537207221,9846.65798495621,7651.70932095819
8,6,6585.58963489078,5709.92099939573,2776.38409761482,1621.35395253178
8,7,4307.92246659676,3560.79477259079,1963.24962187382,1468.92579459818
8,8,4021.4896940673,3209.90415303548,1868.73903494463,1302.39330726291
8,9,5242.52992805568,4293.70216362306,2732.17797951273,1266.33285294703
9,10,20606.1441861504,19649.3087191978,14849.4669468017,10565.78265574
9,11,11722.5393121572,11054.1721165421,9629.15589766369,7968.09457627773
9,12,6060.1501398505,5358.23361529461,4270.8728490019,2875.39696207451
9,1,7223.11378168087,6512.9819350058,5205.05568601207,3376.72115106544
9,2,16199.2129492131,13926.3602403291,13421.743689207,12982.2669132749
9,3,12820.664670017,11172.5521887978,10887.5319645047,10028.8666169163
9,4,44888.0481218875,44057.9640740413,24350.3286157664,15665.8917834922
9,5,39801.0010204262,38615.9121463199,18258.6129709374,9103.76101369578
9,6,17275.8124005002,14640.5306836076,6513.88417727526,2625.84329955816
9,7,9708.20422765783,7900.71586763605,4230.72926181721,1775.9618094203
9,8,8792.94542620818,7088.66118325639,4087.78677790843,1860.5682888952
9,9,9898.85381735927,8366.74285581765,5460.20801211299,2810.11143945704
10,10,26039.290347696,23795.7760742184,17527.7200130583,15761.9022588909
10,11,11528.4883001395,9701.30533134654,7590.96357160878,5781.45256044646
10,12,8775.36446282102,7361.07474049311,6009.11763888802,4315.77233752955
10,1,8045.20498767402,6702.12880349372,4912.68323107412,3315.81547813978
10,2,12135.2106373391,11605.5707081001,6605.20262616209,5316.26143001289
10,3,15100.359377258,14086.3699751574,11519.6419465944,9221.40054474205
10,4,44607.5714796922,43982.1423547065,17818.8200584367,16028.4650486781
10,5,37828.6435678701,36879.2065425326,10529.2265876419,8517.76357918662
10,6,14372.0875009099,12635.287491727,3823.84569497655,2156.34459281114
10,7,7533.76975113798,6239.69898522171,3244.36762280022,1440.36723951844
10,8,6442.178767073,5225.68173717951,3354.85812921883,1400.49054726579
10,9,7524.05987692263,6335.70483550107,4325.05264442017,2070.5030564683
11,10,18291.5315911935,15721.0261554533,15158.4417727458,12716.3310669215
11,11,9094.92061651315,7929.10024617159,7883.33842369517,6237.21889102525
11,12,6715.86982812905,5751.66349323001,5357.876539974,3735.85612699321
11,1,6729.04895855479,5667.30727130772,5199.35724634439,3475.89325890386
11,2,6424.77811667866,5323.7742510367,4805.67977256703,3211.2622852872
11,3,5612.47167748863,4197.01117097522,3700.18191328772,2128.33361033301
11,4,18768.6707450354,9497.78648332091,8487.31959588477,6440.05222540468
11,5,16284.2698822877,8174.64580754818,6858.98393675612,4899.13996773683
11,6,6469.60155959921,3452.65908399905,2786.74000040027,1644.54855594238
11,7,3836.77866350877,2326.02792037311,1802.14022524225,1261.90552155649
11,8,3211.8308410363,2241.71169082848,1430.94071954411,1280.40825213344
11,9,4196.3135676417,3074.27405983437,1500.15565089702,1244.60328522974
12,10,16117.7901221524,13833.6076907851,12071.792064793,7476.12475640231
12,11,5773.18717367213,4859.75421289805,3892.31630589256,2404.9782315193
12,12,4455.16028996369,3797.09145881836,2830.85358084755,1255.4941541013
12,1,7552.68868376593,6595.3118780448,5166.67857822792,3075.63120710964
12,2,6470.58769270882,5609.88805817595,4485.33377135829,2750.34391902062
12,3,11165.4770102513,6022.13431018687,3936.62572117779,2169.12390942679
12,4,22269.1931542511,13059.5409559271,10147.1756247854,7445.08611156988
12,5,24569.7413556053,20820.7566379696,9289.66156025216,6948.10191804735
12,6,29364.2212129572,12032.5467691138,3399.75696718253,1500.56635708908
12,7,9453.92267501276,5588.89614439998,3146.10607249941,1261.52095586296
12,8,12639.9338178088,10507.3047932159,3672.95521793549,1281.19517661336
12,9,8409.41403878501,7351.73806233365,4964.17085393054,1974.6887051132
13,10,17756.2459116978,20486.6119922536,15744.6572622442,12775.5132620328
13,11,8292.58492425865,10007.5527069149,6810.74794840014,4419.50764630564
13,12,5341.36184731562,9355.46337171524,3804.27080783628,1976.49005696037
13,1,8232.3160106957,11540.0011155614,6681.00134643767,4443.02459417309
13,2,7192.01290623711,6810.44468677483,4832.22018366511,2868.15991636065
13,3,5462.77432772202,5406.99272499524,2256.25857868103,1008.91142496428
13,4,9892.13980499866,9524.40271164653,6948.43785779101,4374.27628189631
13,5,8678.96317072742,8050.20608601503,6574.23973390133,4442.44607077101
13,6,3010.40163000387,3122.92159900443,1541.5011470537,1554.796233685
13,7,2294.08295393381,2449.04678830761,1526.22399493155,1544.12422571027
13,8,2114.7023300886,2427.42468157687,1253.57321044748,1246.83760223412
13,9,3140.50822062178,2626.53076097175,1261.87714107685,1258.55743026205
14,10,18724.9436582488,18017.4106789284,16189.9105681247,6265.95534358245
14,11,7538.42567589784,6962.55180947141,5731.26929042227,2996.60073052823
14,12,9983.77352717443,9534.49872547794,8355.92708609848,6250.35829682628
14,1,7162.78237098297,6554.91287417567,5235.15832764067,3957.52345446193
14,2,11078.7567668628,11686.3900738667,13715.6757477993,14653.3522693436
14,3,8847.36589822173,7990.16978966987,8938.94106463609,8798.62686727607
14,4,41783.36372475,40963.4887062046,40048.2208997756,10686.8330898621
14,5,38698.6374556151,37366.5440566413,36088.8686478001,19881.6540102801
14,6,30852.2669207073,28368.569284313,12202.8484470585,15166.5495814359
14,7,19327.7610028026,10267.1293714688,6088.14942950618,3909.61691807311
14,8,18363.5607885839,14816.4859568056,5399.61526814882,7524.51165963388
14,9,10657.5335174907,9730.44159121668,6653.63070247494,4352.82184743661
15,10,21607.1348514009,22424.7805233727,15861.4663274542,18484.9149374605
15,11,10654.1123101974,11062.9589283329,5629.3832010205,4693.61888788224
15,12,10978.2670353151,11266.9762653233,4623.48444078159,6552.00867177823
15,1,10562.3124246492,10071.810277629,7355.45830581248,10871.7878207213
15,2,23274.7645157519,16801.367506609,4488.05546209768,24941.2593650703
15,3,9540.3407043043,7589.1240466222,3732.25760865301,6094.21440576476
15,4,18783.5528774676,17545.1528300935,8450.28628570471,6826.31056162926
15,5,18611.1853624331,17603.6644353103,9036.59044202735,6443.18180309235
15,6,7860.2309060121,6695.59840364121,3028.04948456877,1732.83221792378
15,7,5966.16516212238,4595.20350154934,2406.14365615119,1832.31190703667
15,8,5955.22333482814,4477.35305617365,2523.90864402787,1256.17832241063
15,9,7412.49119057761,5933.55232493389,3731.35918610699,1203.34513805204
16,10,18091.0425705044,16555.1416297604,14663.9788407182,10785.0793414785
16,11,7678.60677559094,6412.64676986583,4915.86222322682,2435.31448623746
16,12,9174.95219831688,8102.03695032858,6823.31655070976,4522.15122907177
16,1,6737.8407954718,5641.68682439427,4180.64286330936,2103.27199339422
16,2,8998.28534341451,7945.67950355261,6543.3738260485,4364.83430905187
16,3,4140.66263333611,3211.00849869838,1730.85076892469,970.09391346839
16,4,10227.8832100403,8002.83975935298,5980.7129484167,2875.32455858792
16,5,8959.6508678964,7649.37377369324,5875.17997975892,3151.22931394516
16,6,3205.92363257287,2241.72350421561,1346.16195686726,1339.75206545592
16,7,2421.79886826235,1580.75329045952,1282.68506314546,1258.4237674255
16,8,2283.72755766435,1476.91270336243,1253.39650606228,1214.56308160435
16,9,3256.4614240652,2397.98598806007,1263.11245912614,1177.5310281022
17,10,19704.1135717562,18123.0740614221,15147.6350465926,8340.30450377913
17,11,8004.22202790314,7147.97360526845,5607.67809450232,3268.10768011657
17,12,5174.42145867914,4453.40017193842,3171.49012017601,1582.19850527835
17,1,8676.4161537232,7737.0942849931,6080.24261910159,3644.52876913522
17,2,6364.80028180839,5279.81716431585,3774.7885180639,2389.02885984389
17,3,45599.8246022474,31225.1442241321,13285.1344606686,13403.8954029718
17,4,51440.4541467083,52595.1927275131,49163.8364411428,48195.1282148664
17,5,47175.8879385031,38896.1013552799,38323.0661980694,35963.3584696573
17,6,33125.0922975226,25100.041111707,17186.9774851561,23640.2654193679
17,7,13590.6795789322,9728.16282469912,7166.23114555364,6031.352864497
17,8,16393.5797833135,15188.5769818605,13231.1464500092,8302.25833978702
17,9,11377.8268326044,9724.90975062486,8246.0302360586,5393.76141415013
18,10,25033.7956508282,25204.3333113344,24992.3567602262,17675.6448328895
18,11,10572.7865511344,11460.8473153239,11300.3154465051,4896.82313382352
18,12,10868.8336636774,10971.2015497038,11471.5179157555,3243.80388147747
18,1,10158.9808020321,10357.4414108748,12801.6565225809,8805.63801057825
18,2,25645.887553154,26054.2796922566,26279.8404780874,25705.1973020179
18,3,47368.3750643984,16231.4673162953,16088.8688784358,14417.7179403594
18,4,48264.2367005383,45463.3651224359,43807.2122396063,22949.4381039231
18,5,48715.9006075184,39741.3332534833,38219.4740506061,21805.4306081337
18,6,33164.596147435,38587.9135142271,21727.7001336511,29761.6331201783
18,7,13501.6663067303,12396.383388259,8926.98780575627,7755.57544265265
18,8,17048.8437713385,15723.8297308804,14141.4446745801,9553.9402284108
18,9,12883.6385743212,10824.8415178296,9540.63596907376,5781.59319169701
19,10,25510.288188883,25783.0653584425,25319.2446321406,24277.3473452642
