"WaterYear","Month","T0","T1","T3","T5"
1,10,51132.7872966906,46434.4994753997,44608.0920740093,44093.1456040593
1,11,24468.3236213373,23339.2821524558,22424.4047438011,22571.7891496338
1,12,19335.3594027017,19794.2729897319,17956.4187564075,20953.8633097397
1,1,22529.2444806875,22052.1435030617,16185.9912338107,22658.3145540597
1,2,33143.0372516265,31429.9775641039,31501.8046736317,27103.7348370756
1,3,31220.6641387713,30065.586340343,28357.8033768326,29018.3819317268
1,4,89193.4001941927,48991.8812637696,32090.2955213427,30420.3590492606
1,5,80760.5352976086,46966.246736685,38207.634874249,40583.0786217439
1,6,39439.845451044,34404.540078549,18102.1237544008,18369.0980882618
1,7,23725.1497712007,20928.5788881181,15240.6739695944,14292.3276349717
1,8,34551.7221939522,33862.4002291696,28539.5902848254,24636.7113133827
1,9,26300.1631619437,23841.5149161466,21280.3201366271,19408.2023379934
2,10,52548.2181867942,47363.1947287405,44871.2099586183,43117.0068606456
2,11,23125.9065313881,24057.6710521871,24282.9590080018,19455.1782535985
2,12,21439.8296539949,23067.531232881,24396.9729335888,17486.4676809116
2,1,22141.4741206867,22601.2189389736,22397.5880220812,13810.1251868586
2,2,34590.2474390188,35841.8575118579,22289.1900094276,14067.7885145413
2,3,33406.0892698623,33539.6786708996,31393.9267419081,25957.2097224593
2,4,90317.2480049294,50362.9902164614,33870.2617153189,34415.1084767005
2,5,78821.3483748097,48450.9252398326,40161.9015610894,22225.3238170573
2,6,46111.3242022801,50415.090380955,19129.9882751948,8820.27550591222
2,7,22624.7825412024,21234.7673815748,14287.1098869473,7633.7724506095
2,8,30444.4970883548,29233.3787385644,25290.8542514502,7639.57008949735
2,9,23786.034088237,21212.9015506716,19090.6281418062,9620.12508943709
3,10,55519.9642076972,54625.9374964988,45688.456869775,37896.4298495112
3,11,28944.9352186559,28577.0325010389,22502.4501066711,17530.3538680755
3,12,29205.4822595596,29044.1029558871,28124.3445687119,18295.8482052708
3,1,40039.9577651978,39710.4934285687,38600.2561770613,34517.5640876539
3,2,33809.1683578116,32928.3170944585,32661.6086878556,30325.530333275
3,3,30238.0940137841,29767.8500402016,29378.4987415276,25649.9803261163
3,4,89852.1478230891,87501.9131883751,30392.148892382,31779.6529518502
3,5,83936.6490654551,82678.7739839746,41741.13640864,41817.6144208005
3,6,35232.2517026777,44142.5414917225,18436.4530644597,17347.0717416242
3,7,28347.6602955074,23341.2935060897,15060.7968702988,12246.4881057869
3,8,35856.5193945653,31834.2400628921,27775.1732763791,22700.8801156344
3,9,26512.2271462889,25015.1923665861,20625.5221860952,16995.5383393896
4,10,53044.7272597471,53712.2963564286,52954.9746547028,45692.4256798438
4,11,23811.8031895088,23706.165318206,23334.6582106682,20607.7608051292
4,12,31102.855289168,30627.7190680657,30152.8063419775,28319.7125426987
4,1,25850.1503976377,24600.4006827792,23371.6710000682,20649.3792354478
4,2,42332.1777909132,40569.2362875872,33485.4237387512,36491.0145147602
