particleNum,insertionNode,insertionDate,insertionTime, 124_firstDate, 124_firstTime, 124_lastDate, 124_lastTime, 417_firstDate, 417_firstTime, 417_lastDate, 417_lastTime, 268_firstDate, 268_firstTime, 268_lastDate, 268_lastTime, 469_firstDate, 469_firstTime, 469_lastDate, 469_lastTime, 356_firstDate, 356_firstTime, 356_lastDate, 356_lastTime, 19_firstDate, 19_firstTime, 19_lastDate, 19_lastTime, 348_firstDate, 348_firstTime, 348_lastDate, 348_lastTime, CVP_firstDate, CVP_firstTime, CVP_lastDate, CVP_lastTime, 34_firstDate, 34_firstTime, 34_lastDate, 34_lastTime, 271_firstDate, 271_firstTime, 271_lastDate, 271_lastTime, 38_firstDate, 38_firstTime, 38_lastDate, 38_lastTime, Exit_firstDate, Exit_firstTime, Exit_lastDate, Exit_lastTime, 94_firstDate, 94_firstTime, 94_lastDate, 94_lastTime, 82_firstDate, 82_firstTime, 82_lastDate, 82_lastTime, SWP_firstDate, SWP_firstTime, SWP_lastDate, SWP_lastTime, Chipps_firstDate, Chipps_firstTime, Chipps_lastDate, Chipps_lastTime, 256_firstDate, 256_firstTime, 256_lastDate, 256_lastTime, 118_firstDate, 118_firstTime, 118_lastDate, 118_lastTime, 340_firstDate, 340_firstTime, 340_lastDate, 340_lastTime,diedWaterbody,deathDate,deathTime
473,39,11-Feb-15,1130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 11FEB2015 ,1900, 11FEB2015 ,2115,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,288, 16FEB2015 ,800
474,39,11-Feb-15,1130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 12FEB2015 ,345, 12FEB2015 ,345, 13FEB2015 ,115, 13FEB2015 ,115,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 13FEB2015 ,1600, 13FEB2015 ,1600,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 13FEB2015 ,115, 13FEB2015 ,115,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
475,39,11-Feb-15,1130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 13FEB2015 ,300, 19FEB2015 ,2130, 20FEB2015 ,1930, 20FEB2015 ,1930,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 20FEB2015 ,1930, 20FEB2015 ,1930,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,447, 21FEB2015 ,745
476,39,11-Feb-15,1130,-999,-999,-999,-999, 13FEB2015 ,1730, 13FEB2015 ,1730,-999,-999,-999,-999, 12FEB2015 ,1815, 12FEB2015 ,1815,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 15FEB2015 ,1600, 15FEB2015 ,1600,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
477,39,11-Feb-15,1130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 14FEB2015 ,1600, 14FEB2015 ,1600, 15FEB2015 ,1415, 15FEB2015 ,1415,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 11FEB2015 ,1845, 11FEB2015 ,1845, 16FEB2015 ,1600, 16FEB2015 ,1600,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 15FEB2015 ,1415, 15FEB2015 ,1415,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
478,39,11-Feb-15,1130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 11FEB2015 ,1845, 11FEB2015 ,1845,-999,-999,-999,-999, 12FEB2015 ,2130, 12FEB2015 ,2130, 13FEB2015 ,1000, 13FEB2015 ,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
479,39,11-Feb-15,1130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 12FEB2015 ,1415, 12FEB2015 ,1415, 13FEB2015 ,1345, 13FEB2015 ,1345,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 14FEB2015 ,1230, 14FEB2015 ,1230,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 13FEB2015 ,1345, 13FEB2015 ,1345,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
480,39,11-Feb-15,1130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 11FEB2015 ,1900, 11FEB2015 ,1900,-999,-999,-999,-999, 12FEB2015 ,1115, 12FEB2015 ,1215,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,122, 12FEB2015 ,1930
481,39,11-Feb-15,1145,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 21FEB2015 ,2330, 21FEB2015 ,2330, 22FEB2015 ,2130, 22FEB2015 ,2130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 12FEB2015 ,745, 21FEB2015 ,115,-999,-999,-999,-999, 24FEB2015 ,30, 24FEB2015 ,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 22FEB2015 ,2130, 22FEB2015 ,2130, 14FEB2015 ,1230, 19FEB2015 ,1100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
482,39,11-Feb-15,1145,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 22FEB2015 ,2315, 22FEB2015 ,2315, 23FEB2015 ,2215, 23FEB2015 ,2215,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 12FEB2015 ,730, 22FEB2015 ,15,-999,-999,-999,-999, 24FEB2015 ,1315, 24FEB2015 ,1315,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, 23FEB2015 ,2215, 23FEB2015 ,2215, 14FEB2015 ,1215, 20FEB2015 ,1130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
