county,state,reports,crop.index,animal.index,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,all.pixels,d.forest,e.forest,m.forest
Wasco,Oregon,5,311.00,241.00,25270.00,25246.00,25470.00,25464.00,25507.00,25775.00,6893460,20685,1577815,21367
Washington,Oregon,6,1111.00,547.00,531658.00,539860.00,547932.00,555661.00,563273.00,574326.00,2091212,24820,468613,229687
Wheeler,Oregon,0,63.00,93.00,1447.00,1418.00,1424.00,1390.00,1372.00,1358.00,4936547,24,1378935,0
Yamhill,Oregon,1,1080.00,875.00,99307.00,99742.00,100742.00,100767.00,101683.00,102659.00,2067256,40302,461893,281221
Adams,Washington,0,357.00,129.00,18810.00,18883.00,18962.00,19114.00,19194.00,19254.00,5553668,446,1865,68
Asotin,Washington,0,67.00,77.00,21710.00,21920.00,21878.00,22110.00,22188.00,22105.00,1843551,918,311795,182
Benton,Washington,2,556.00,647.00,176516.00,180580.00,182532.00,184584.00,186647.00,190309.00,5064881,571,458,202
Chelan,Washington,19,703.00,137.00,72743.00,73327.00,73705.00,74061.00,74598.00,75644.00,8615828,17721,4307346,8196
Clallam,Washington,15,206.00,257.00,71533.00,71778.00,71829.00,72222.00,72668.00,73486.00,7685486,110281,3421834,182506
Clark,Washington,10,794.00,856.00,426804.00,432524.00,437226.00,442843.00,450441.00,459495.00,1888502,120517,435356,119039
Columbia,Washington,4,138.00,91.00,4106.00,4016.00,3994.00,4018.00,3974.00,3944.00,2513720,614,772694,1835
Cowlitz,Washington,15,168.00,233.00,102417.00,102375.00,101840.00,101792.00,102214.00,103468.00,3356076,200926,1492376,166071
Douglas,Washington,0,530.00,109.00,38551.00,38813.00,39344.00,39480.00,39822.00,40534.00,5320022,1919,72676,235
Ferry,Washington,5,127.00,112.00,7549.00,7682.00,7703.00,7640.00,7651.00,7582.00,6495800,17213,4339352,0
Franklin,Washington,0,533.00,212.00,79132.00,83178.00,85833.00,86574.00,87822.00,88807.00,3641314,3442,1526,364
Garfield,Washington,0,107.00,58.00,2265.00,2247.00,2223.00,2247.00,2212.00,2219.00,2066838,672,376513,256
Grant,Washington,0,965.00,396.00,89627.00,90756.00,91589.00,91906.00,92838.00,93259.00,8032740,858,2556,46
Grays Harbor,Washington,42,208.00,270.00,72857.00,72345.00,71742.00,71049.00,70836.00,71122.00,6401271,168169,2832388,186057
Island,Washington,5,167.00,191.00,78712.00,78992.00,79252.00,78575.00,79235.00,80593.00,1488865,44996,172268,92106
Jefferson,Washington,22,88.00,124.00,29902.00,29870.00,29822.00,30050.00,30206.00,30466.00,6282507,98716,3658281,144039
King,Washington,45,652.00,792.00,1937699.00,1972548.00,2009200.00,2047618.00,2082288.00,2117125.00,6638593,171532,2591012,660236
Kitsap,Washington,15,289.00,298.00,251723.00,254458.00,254764.00,253325.00,254525.00,260131.00,1628603,87814,415369,150828
Kittitas,Washington,17,425.00,440.00,41014.00,41578.00,41622.00,41892.00,42661.00,43269.00,6714506,8395,2393743,1121
Klickitat,Washington,9,343.00,324.00,20390.00,20695.00,20643.00,20855.00,20883.00,21026.00,5479676,34713,1260664,21771
Lewis,Washington,43,647.00,833.00,75516.00,75701.00,75591.00,75178.00,75224.00,75882.00,7010953,237974,3643376,293426
Lincoln,Washington,2,439.00,220.00,10570.00,10518.00,10442.00,10281.00,10253.00,10321.00,6732111,3879,230189,236
Mason,Washington,22,121.00,196.00,60752.00,60917.00,60772.00,60550.00,60694.00,61023.00,3024560,67398,1506934,124328
Okanogan,Washington,26,845.00,514.00,41246.00,41358.00,41270.00,41168.00,41347.00,41516.00,15294696,16775,6918316,9623
Pacific,Washington,6,166.00,137.00,20884.00,20853.00,20549.00,20424.00,20551.00,20848.00,3520593,51969,1258076,73480
Pend Oreille,Washington,7,148.00,132.00,12963.00,12937.00,12985.00,12891.00,12941.00,13088.00,4101506,2580,3307124,19
Pierce,Washington,74,463.00,717.00,795422.00,803320.00,811987.00,819336.00,831161.00,843954.00,5198245,96019,2031860,331303
San Juan,Washington,0,160.00,145.00,15770.00,15818.00,15806.00,15877.00,16026.00,16252.00,1787299,6824,299561,19523
Skagit,Washington,10,470.00,505.00,117004.00,117768.00,118032.00,118745.00,120325.00,121846.00,5525616,203222,2630015,296138
