Deployment,Period,Site,ID,FL_cm,Weight_g,Cage,K,CageRep
Winter,Post,DWSC,Winter_149,5.6,1.68,B,0.957,Winter_DWSC_B
Winter,Post,DWSC,Winter_150,5.6,1.77,B,1.008,Winter_DWSC_B
Winter,Post,DWSC,Winter_151,6.5,1.36,B,0.495,Winter_DWSC_B
Winter,Post,DWSC,Winter_152,6.5,1.63,B,0.594,Winter_DWSC_B
Winter,Post,DWSC,Winter_153,5.1,0.86,B,0.648,Winter_DWSC_B
Winter,Post,DWSC,Winter_154,6.5,1.29,B,0.47,Winter_DWSC_B
Winter,Post,DWSC,Winter_155,5.5,0.88,B,0.529,Winter_DWSC_B
Winter,Post,DWSC,Winter_156,6.7,2.05,B,0.682,Winter_DWSC_B
Winter,Post,DWSC,Winter_157,6.4,1.36,B,0.519,Winter_DWSC_B
Winter,Post,DWSC,Winter_158,6.2,1.28,B,0.537,Winter_DWSC_B
Winter,Post,DWSC,Winter_159,5,0.66,B,0.528,Winter_DWSC_B
Winter,Post,DWSC,Winter_160,6.3,0.94,B,0.376,Winter_DWSC_B
Winter,Post,DWSC,Winter_161,5.7,1.04,B,0.562,Winter_DWSC_B
Winter,Post,DWSC,Winter_162,5.6,0.97,B,0.552,Winter_DWSC_B
Winter,Post,DWSC,Winter_163,5.6,0.68,B,0.387,Winter_DWSC_B
Winter,Post,DWSC,Winter_164,6.1,1.16,B,0.511,Winter_DWSC_B
Winter,Post,DWSC,Winter_165,6.6,1.7,B,0.591,Winter_DWSC_B
Winter,Post,DWSC,Winter_166,5.4,0.69,B,0.438,Winter_DWSC_B
Winter,Post,DWSC,Winter_167,7.1,2.52,B,0.704,Winter_DWSC_B
Winter,Post,DWSC,Winter_168,6,1.06,B,0.491,Winter_DWSC_B
Winter,Post,DWSC,Winter_169,6,1.19,B,0.551,Winter_DWSC_B
Winter,Post,DWSC,Winter_170,6.7,1.43,B,0.475,Winter_DWSC_B
Winter,Post,DWSC,Winter_171,6.2,1,B,0.42,Winter_DWSC_B
Winter,Post,DWSC,Winter_172,6.9,1.79,B,0.545,Winter_DWSC_B
Winter,Post,DWSC,Winter_173,6.2,1.13,B,0.474,Winter_DWSC_B
Winter,Post,DWSC,Winter_174,6.1,1.37,B,0.604,Winter_DWSC_B
Winter,Post,DWSC,Winter_175,6.3,1.96,B,0.784,Winter_DWSC_B
Winter,Post,DWSC,Winter_176,5.9,1.22,B,0.594,Winter_DWSC_B
Winter,Post,DWSC,Winter_177,6.1,1.36,B,0.599,Winter_DWSC_B
Winter,Post,RV,Winter_178,6.4,1.54,B,0.587,Winter_RV_B
Winter,Post,RV,Winter_179,6.3,1.8,B,0.72,Winter_RV_B
Winter,Post,RV,Winter_180,6.8,1.77,B,0.563,Winter_RV_B
Winter,Post,RV,Winter_181,6.4,1.77,B,0.675,Winter_RV_B
Winter,Post,RV,Winter_182,6.3,1.97,B,0.788,Winter_RV_B
Winter,Post,RV,Winter_183,5.5,1.04,B,0.625,Winter_RV_B
Winter,Post,RV,Winter_184,6.1,1.64,B,0.723,Winter_RV_B
Winter,Post,RV,Winter_185,6.5,2.1,B,0.765,Winter_RV_B
Winter,Post,RV,Winter_186,6.6,2.07,B,0.72,Winter_RV_B
Winter,Post,RV,Winter_187,6.3,1.67,B,0.668,Winter_RV_B
Winter,Post,RV,Winter_188,6.1,1.62,B,0.714,Winter_RV_B
Winter,Post,RV,Winter_189,6.4,1.89,B,0.721,Winter_RV_B
Winter,Post,RV,Winter_190,6,1.45,B,0.671,Winter_RV_B
Winter,Post,RV,Winter_191,5.5,1.16,B,0.697,Winter_RV_B
Winter,Post,RV,Winter_192,6.1,1.55,B,0.683,Winter_RV_B
Winter,Post,RV,Winter_193,5.8,1.22,B,0.625,Winter_RV_B
Winter,Post,RV,Winter_194,5.3,0.94,B,0.631,Winter_RV_B
Winter,Post,RV,Winter_195,6,1.58,B,0.731,Winter_RV_B
Winter,Post,RV,Winter_196,5.9,1.38,B,0.672,Winter_RV_B
Winter,Post,RV,Winter_197,7,2.43,B,0.708,Winter_RV_B
Winter,Post,RV,Winter_198,6.8,2.02,B,0.642,Winter_RV_B
Winter,Post,RV,Winter_199,6.5,1.84,B,0.67,Winter_RV_B
Winter,Post,RV,Winter_200,5.4,1.74,B,1.105,Winter_RV_B
Winter,Post,RV,Winter_201,5.6,1.24,B,0.706,Winter_RV_B
Winter,Post,RV,Winter_202,5.5,1.18,B,0.709,Winter_RV_B
Winter,Post,RV,Winter_203,5.5,1.17,B,0.703,Winter_RV_B
Winter,Post,RV,Winter_204,6.2,1.7,B,0.713,Winter_RV_B
Winter,Post,RV,Winter_205,5.9,1.39,B,0.677,Winter_RV_B
Winter,Post,RV,Winter_206,6,1.49,B,0.69,Winter_RV_B
Winter,Post,RV,Winter_207,5.7,1.19,B,0.643,Winter_RV_B
Winter,Post,RV,Winter_208,6.2,1.59,B,0.667,Winter_RV_B
Winter,Post,RV,Winter_209,5.6,1.22,B,0.695,Winter_RV_B
Winter,Post,RV,Winter_210,6.1,1.44,B,0.634,Winter_RV_B
Winter,Post,RV,Winter_211,6.7,2.31,B,0.768,Winter_RV_B
Winter,Post,RV,Winter_212,6.4,1.75,B,0.668,Winter_RV_B
Winter,Post,RV,Winter_213,6.5,1.89,B,0.688,Winter_RV_B
Winter,Post,RV,Winter_214,6,1.43,B,0.662,Winter_RV_B
Winter,Post,RV,Winter_215,6.4,1.74,B,0.664,Winter_RV_B
Winter,Post,RV,Winter_216,7,2.25,B,0.656,Winter_RV_B
Winter,Post,RV,Winter_217,7.4,2.9,B,0.716,Winter_RV_B
Winter,Post,RV,Winter_218,6.5,2.09,B,0.761,Winter_RV_B
Winter,Post,RV,Winter_219,5.6,1.17,B,0.666,Winter_RV_B
Winter,Post,RV,Winter_220,6.6,2.15,B,0.748,Winter_RV_B
Winter,Post,RV,Winter_221,6.3,1.66,B,0.664,Winter_RV_B
Winter,Post,RV,Winter_222,6.3,1.65,B,0.66,Winter_RV_B
Winter,Post,RV,Winter_223,6.4,1.81,B,0.69,Winter_RV_B
Winter,Post,RV,Winter_224,6.4,1.9,B,0.725,Winter_RV_B
Winter,Post,RV,Winter_225,6.7,2.29,B,0.761,Winter_RV_B
Winter,Post,RV,Winter_226,6.4,1.67,B,0.637,Winter_RV_B
Winter,Post,RV,Winter_227,6.6,2.04,B,0.71,Winter_RV_B
Winter,Post,RV,Winter_228,6,1.26,B,0.583,Winter_RV_B
Winter,Post,RV,Winter_229,6.4,1.73,B,0.66,Winter_RV_B
Winter,Post,RV,Winter_230,6.2,1.46,B,0.613,Winter_RV_B
Winter,Post,RV,Winter_231,5,0.81,B,0.648,Winter_RV_B
Winter,Post,RV,Winter_232,6,1.48,B,0.685,Winter_RV_B
Winter,Post,RV,Winter_233,6.2,1.55,B,0.65,Winter_RV_B
Winter,Post,RV,Winter_234,5.6,0.98,B,0.558,Winter_RV_B
Winter,Post,RV,Winter_235,6,1.52,B,0.704,Winter_RV_B
Winter,Post,RV,Winter_236,5.8,1.34,B,0.687,Winter_RV_B
Winter,Post,DWSC,Winter_237,6.4,1.48,B,0.565,Winter_DWSC_B
Winter,Post,DWSC,Winter_238,6.8,1.94,B,0.617,Winter_DWSC_B
Winter,Post,DWSC,Winter_239,6.5,1.2,B,0.437,Winter_DWSC_B
Winter,Post,DWSC,Winter_240,6.3,1.28,B,0.512,Winter_DWSC_B
Winter,Post,RV,Winter_241,5.9,1.4,B,0.682,Winter_RV_B
Winter,Post,RV,Winter_242,6,1.33,B,0.616,Winter_RV_B
Winter,Post,RV,Winter_243,6.2,1.61,B,0.676,Winter_RV_B
Winter,Post,RV,Winter_244,6.4,1.71,B,0.652,Winter_RV_B
Winter,Post,RV,Winter_245,6,1.31,B,0.606,Winter_RV_B
Winter,Post,DWSC,Winter_246,6.1,1.46,C,0.643,Winter_DWSC_C
Winter,Post,DWSC,Winter_247,6.4,1.86,C,0.71,Winter_DWSC_C
Winter,Post,DWSC,Winter_248,6.3,1.63,C,0.652,Winter_DWSC_C
Winter,Post,DWSC,Winter_249,5.1,0.68,C,0.513,Winter_DWSC_C
Winter,Post,DWSC,Winter_250,6.6,1.79,C,0.623,Winter_DWSC_C
Winter,Post,DWSC,Winter_251,4.9,0.63,C,0.535,Winter_DWSC_C
Winter,Post,DWSC,Winter_252,5.7,0.69,C,0.373,Winter_DWSC_C
Winter,Post,DWSC,Winter_253,6.5,1.74,C,0.634,Winter_DWSC_C
Winter,Post,DWSC,Winter_254,5.3,0.6,C,0.403,Winter_DWSC_C
Winter,Post,DWSC,Winter_255,5.4,0.97,C,0.616,Winter_DWSC_C
Winter,Post,DWSC,Winter_256,6,1.01,C,0.468,Winter_DWSC_C
Winter,Post,DWSC,Winter_257,6,1.14,C,0.528,Winter_DWSC_C
Winter,Post,DWSC,Winter_258,6.8,1.34,C,0.426,Winter_DWSC_C
Winter,Post,DWSC,Winter_259,6.8,1.43,C,0.455,Winter_DWSC_C
Winter,Post,DWSC,Winter_260,6,1.02,C,0.472,Winter_DWSC_C
Winter,Post,DWSC,Winter_261,5.9,1.31,C,0.638,Winter_DWSC_C
Winter,Post,DWSC,Winter_262,5.2,0.56,C,0.398,Winter_DWSC_C
Winter,Post,DWSC,Winter_263,6.7,1.44,C,0.479,Winter_DWSC_C
Winter,Post,DWSC,Winter_264,6.3,1.39,C,0.556,Winter_DWSC_C
Winter,Post,DWSC,Winter_265,6.5,1.55,C,0.564,Winter_DWSC_C
Winter,Post,DWSC,Winter_266,6.4,1.53,C,0.584,Winter_DWSC_C
Winter,Post,DWSC,Winter_267,6.4,1.33,C,0.507,Winter_DWSC_C
Winter,Post,DWSC,Winter_268,7,1.91,C,0.557,Winter_DWSC_C
Winter,Post,DWSC,Winter_269,6.4,1.38,C,0.526,Winter_DWSC_C
Winter,Post,DWSC,Winter_270,6.3,1.22,C,0.488,Winter_DWSC_C
Winter,Post,DWSC,Winter_271,6.2,1.1,C,0.462,Winter_DWSC_C
Winter,Post,DWSC,Winter_272,6.4,0.9,C,0.343,Winter_DWSC_C
Winter,Post,DWSC,Winter_273,6,1.36,C,0.63,Winter_DWSC_C
Winter,Post,DWSC,Winter_274,6.2,1.01,C,0.424,Winter_DWSC_C
Winter,Post,DWSC,Winter_275,6.2,0.91,C,0.382,Winter_DWSC_C
Winter,Post,DWSC,Winter_276,5.8,0.97,C,0.497,Winter_DWSC_C
Winter,Post,DWSC,Winter_277,5.6,1.03,C,0.587,Winter_DWSC_C
Winter,Post,DWSC,Winter_278,6.3,1.58,C,0.632,Winter_DWSC_C
Winter,Post,DWSC,Winter_279,7,1.54,C,0.449,Winter_DWSC_C
Winter,Post,DWSC,Winter_280,6.2,1.05,C,0.441,Winter_DWSC_C
Winter,Post,DWSC,Winter_281,5.2,0.66,C,0.469,Winter_DWSC_C
Winter,Post,DWSC,Winter_282,5.7,1.04,C,0.562,Winter_DWSC_C
Winter,Post,DWSC,Winter_283,5.7,1.11,C,0.599,Winter_DWSC_C
Winter,Post,DWSC,Winter_284,6.2,1.35,C,0.566,Winter_DWSC_C
Winter,Post,DWSC,Winter_285,5.9,1.22,C,0.594,Winter_DWSC_C
Winter,Post,DWSC,Winter_286,7,1.95,C,0.569,Winter_DWSC_C
Winter,Post,DWSC,Winter_287,5.5,0.81,C,0.487,Winter_DWSC_C
Winter,Post,DWSC,Winter_288,6.3,1.62,C,0.648,Winter_DWSC_C
Winter,Post,DWSC,Winter_289,6.2,1.55,C,0.65,Winter_DWSC_C
Winter,Post,DWSC,Winter_290,6.4,1.49,C,0.568,Winter_DWSC_C
Winter,Post,DWSC,Winter_291,6.5,1.91,C,0.695,Winter_DWSC_C
Winter,Post,DWSC,Winter_292,6,1.29,C,0.597,Winter_DWSC_C
Winter,Post,DWSC,Winter_293,7.4,2.56,C,0.632,Winter_DWSC_C
Winter,Post,DWSC,Winter_294,6.9,2.02,C,0.615,Winter_DWSC_C
Winter,Post,DWSC,Winter_295,5.5,0.71,C,0.427,Winter_DWSC_C
Winter,Post,DWSC,Winter_296,6.2,1.49,C,0.625,Winter_DWSC_C
Winter,Post,DWSC,Winter_297,7,2.35,C,0.685,Winter_DWSC_C
Winter,Post,DWSC,Winter_298,7,1.99,C,0.58,Winter_DWSC_C
Winter,Post,RV,Winter_299,5.8,1.46,C,0.748,Winter_RV_C
Winter,Post,RV,Winter_300,6.2,1.7,C,0.713,Winter_RV_C
Winter,Post,RV,Winter_301,5.3,1.24,C,0.833,Winter_RV_C
Winter,Post,RV,Winter_302,5.6,1.31,C,0.746,Winter_RV_C
Winter,Post,RV,Winter_303,6.3,1.66,C,0.664,Winter_RV_C
Winter,Post,RV,Winter_304,6.1,1.5,C,0.661,Winter_RV_C
Winter,Post,RV,Winter_305,6.1,1.79,C,0.789,Winter_RV_C
Winter,Post,RV,Winter_306,6.7,2.09,C,0.695,Winter_RV_C
Winter,Post,RV,Winter_307,6,1.23,C,0.569,Winter_RV_C
Winter,Post,RV,Winter_308,5.9,1.4,C,0.682,Winter_RV_C
Winter,Post,RV,Winter_309,5,0.83,C,0.664,Winter_RV_C
Winter,Post,RV,Winter_310,6,1.53,C,0.708,Winter_RV_C
Winter,Post,RV,Winter_311,6.6,2.25,C,0.783,Winter_RV_C
Winter,Post,RV,Winter_312,5.5,1.12,C,0.673,Winter_RV_C
Winter,Post,RV,Winter_313,6.1,2.09,C,0.921,Winter_RV_C
Winter,Post,RV,Winter_314,5.3,1.09,C,0.732,Winter_RV_C
Winter,Post,RV,Winter_315,5.9,1.54,C,0.75,Winter_RV_C
Winter,Post,RV,Winter_316,6,1.46,C,0.676,Winter_RV_C
Winter,Post,RV,Winter_317,5.9,1.39,C,0.677,Winter_RV_C
Winter,Post,DWSC,Winter_318,5.5,0.69,C,0.415,Winter_DWSC_C
Winter,Post,DWSC,Winter_319,6.9,1.55,C,0.472,Winter_DWSC_C
Winter,Post,DWSC,Winter_320,6.2,1.33,C,0.558,Winter_DWSC_C
Winter,Post,DWSC,Winter_321,6.7,1.78,C,0.592,Winter_DWSC_C
Winter,Post,DWSC,Winter_322,5.7,1.17,C,0.632,Winter_DWSC_C
Winter,Post,RV,Winter_323,6.8,2.64,C,0.84,Winter_RV_C
Winter,Post,RV,Winter_324,6.7,2.38,C,0.791,Winter_RV_C
Winter,Post,RV,Winter_325,6.9,2.45,C,0.746,Winter_RV_C
Winter,Post,RV,Winter_326,6.2,1.95,C,0.818,Winter_RV_C
Winter,Post,RV,Winter_327,6.1,1.98,C,0.872,Winter_RV_C
Winter,Post,RV,Winter_328,6,1.4,C,0.648,Winter_RV_C
Winter,Post,RV,Winter_329,6.8,2.34,C,0.744,Winter_RV_C
Winter,Post,RV,Winter_330,6.7,2.25,C,0.748,Winter_RV_C
Winter,Post,RV,Winter_331,5.7,1.42,C,0.767,Winter_RV_C
Winter,Post,RV,Winter_332,6.1,1.66,C,0.731,Winter_RV_C
Winter,Post,RV,Winter_333,5.4,1.26,C,0.8,Winter_RV_C
Winter,Post,RV,Winter_334,5.1,0.9,C,0.678,Winter_RV_C
Winter,Post,RV,Winter_335,5.9,1.32,C,0.643,Winter_RV_C
Winter,Post,RV,Winter_336,7.1,2.93,C,0.819,Winter_RV_C
Winter,Post,RV,Winter_337,6.2,1.36,C,0.571,Winter_RV_C
Winter,Post,RV,Winter_338,6.4,1.83,C,0.698,Winter_RV_C
Winter,Post,RV,Winter_339,6.2,1.6,C,0.671,Winter_RV_C
Winter,Post,RV,Winter_340,6.5,1.88,C,0.685,Winter_RV_C
Winter,Post,RV,Winter_341,5.7,1.23,C,0.664,Winter_RV_C
Winter,Post,RV,Winter_342,6.5,1.67,C,0.608,Winter_RV_C
Winter,Post,RV,Winter_343,5.4,1.04,C,0.66,Winter_RV_C
Winter,Post,RV,Winter_344,6.6,2.23,C,0.776,Winter_RV_C
Winter,Post,RV,Winter_345,6,1.6,C,0.741,Winter_RV_C
Winter,Post,RV,Winter_346,6,2.05,C,0.949,Winter_RV_C
Winter,Post,RV,Winter_347,5.9,1.3,C,0.633,Winter_RV_C
Winter,Post,RV,Winter_348,7,2.85,C,0.831,Winter_RV_C
Winter,Post,RV,Winter_349,6.4,1.93,C,0.736,Winter_RV_C
Winter,Post,RV,Winter_350,5.7,1.25,C,0.675,Winter_RV_C
Winter,Post,RV,Winter_351,5.4,1.15,C,0.73,Winter_RV_C
Winter,Post,RV,Winter_352,5.9,1.33,C,0.648,Winter_RV_C
Winter,Post,RV,Winter_353,5.4,1.08,C,0.686,Winter_RV_C
Winter,Post,RV,Winter_354,5,0.9,C,0.72,Winter_RV_C
Winter,Post,RV,Winter_355,6.2,1.86,C,0.78,Winter_RV_C
Winter,Post,RV,Winter_356,6.5,1.85,C,0.674,Winter_RV_C
Winter,Post,RV,Winter_357,6.5,2.11,C,0.768,Winter_RV_C
Winter,Post,RV,Winter_358,6.7,2.1,C,0.698,Winter_RV_C
Winter,Post,RV,Winter_359,6.1,1.63,C,0.718,Winter_RV_C
Winter,Post,RV,Winter_360,5.4,1.23,C,0.781,Winter_RV_C
Winter,Post,RV,Winter_361,6.4,1.56,C,0.595,Winter_RV_C
Winter,Post,RV,Winter_362,5.8,1.36,C,0.697,Winter_RV_C
Winter,Post,RV,Winter_363,5.8,1.25,C,0.641,Winter_RV_C
Winter,Post,RV,Winter_364,5.4,1.12,C,0.711,Winter_RV_C
Winter,Post,RV,Winter_365,6.3,1.65,C,0.66,Winter_RV_C
Winter,Post,RV,Winter_366,6,1.52,C,0.704,Winter_RV_C
Winter,Post,RV,Winter_367,6.7,1.83,C,0.608,Winter_RV_C
Winter,Post,DWSC,Winter_368,5.5,1.08,D,0.649,Winter_DWSC_D
Winter,Post,DWSC,Winter_369,5.6,0.81,D,0.461,Winter_DWSC_D
Winter,Post,DWSC,Winter_370,7.8,1.5,D,0.316,Winter_DWSC_D
Winter,Post,DWSC,Winter_371,6.2,1.19,D,0.499,Winter_DWSC_D
Winter,Post,DWSC,Winter_372,5.8,0.97,D,0.497,Winter_DWSC_D
Winter,Post,DWSC,Winter_373,5.2,0.89,D,0.633,Winter_DWSC_D
Winter,Post,DWSC,Winter_374,5.7,1.06,D,0.572,Winter_DWSC_D
Winter,Post,DWSC,Winter_375,6.2,1.09,D,0.457,Winter_DWSC_D
Winter,Post,DWSC,Winter_376,5.2,0.65,D,0.462,Winter_DWSC_D
Winter,Post,DWSC,Winter_377,6.6,1.62,D,0.563,Winter_DWSC_D
Winter,Post,DWSC,Winter_378,5.7,0.89,D,0.481,Winter_DWSC_D
Winter,Post,DWSC,Winter_379,6.4,1.39,D,0.53,Winter_DWSC_D
Winter,Post,DWSC,Winter_380,5.6,0.91,D,0.518,Winter_DWSC_D
Winter,Post,DWSC,Winter_381,6.4,1.45,D,0.553,Winter_DWSC_D
Winter,Post,DWSC,Winter_382,6.5,0.96,D,0.35,Winter_DWSC_D
Winter,Post,DWSC,Winter_383,6.2,1.15,D,0.483,Winter_DWSC_D
Winter,Post,DWSC,Winter_384,6.4,1.15,D,0.439,Winter_DWSC_D
Winter,Post,DWSC,Winter_385,6.3,0.98,D,0.392,Winter_DWSC_D
Winter,Post,DWSC,Winter_386,5.8,1.09,D,0.559,Winter_DWSC_D
Winter,Post,DWSC,Winter_387,6.3,1.31,D,0.524,Winter_DWSC_D
Winter,Post,DWSC,Winter_388,6.2,1.12,D,0.47,Winter_DWSC_D
Winter,Post,DWSC,Winter_389,5.5,0.79,D,0.475,Winter_DWSC_D
Winter,Post,DWSC,Winter_390,6.5,1.63,D,0.594,Winter_DWSC_D
Winter,Post,DWSC,Winter_391,6,1.29,D,0.597,Winter_DWSC_D
Winter,Post,DWSC,Winter_392,5.7,0.81,D,0.437,Winter_DWSC_D
Winter,Post,DWSC,Winter_393,6.4,1.53,D,0.584,Winter_DWSC_D
Winter,Post,DWSC,Winter_394,6.4,1.24,D,0.473,Winter_DWSC_D
Winter,Post,DWSC,Winter_395,6.6,1.88,D,0.654,Winter_DWSC_D
Winter,Post,DWSC,Winter_396,6,1.43,D,0.662,Winter_DWSC_D
Winter,Post,DWSC,Winter_397,5.5,0.81,D,0.487,Winter_DWSC_D
Winter,Post,DWSC,Winter_398,5.3,1.33,D,0.893,Winter_DWSC_D
Winter,Post,DWSC,Winter_399,6.2,1.68,D,0.705,Winter_DWSC_D
Winter,Post,DWSC,Winter_400,6.4,1.65,D,0.629,Winter_DWSC_D
Winter,Post,DWSC,Winter_401,6.3,1.44,D,0.576,Winter_DWSC_D
Winter,Post,DWSC,Winter_402,6.7,1.86,D,0.618,Winter_DWSC_D
Winter,Post,DWSC,Winter_403,6.7,1.61,D,0.535,Winter_DWSC_D
Winter,Post,DWSC,Winter_404,5.5,0.94,D,0.565,Winter_DWSC_D
Winter,Post,DWSC,Winter_405,7,2.2,D,0.641,Winter_DWSC_D
Winter,Post,DWSC,Winter_406,6.7,1.61,D,0.535,Winter_DWSC_D
Winter,Post,DWSC,Winter_407,6.5,1.66,D,0.604,Winter_DWSC_D
Winter,Post,DWSC,Winter_408,6.4,1.7,D,0.648,Winter_DWSC_D
Winter,Post,DWSC,Winter_409,6,0.93,D,0.431,Winter_DWSC_D
Winter,Post,DWSC,Winter_410,5,0.76,D,0.608,Winter_DWSC_D
Winter,Post,DWSC,Winter_411,6.5,1.24,D,0.452,Winter_DWSC_D
Winter,Post,DWSC,Winter_412,6,1.01,D,0.468,Winter_DWSC_D
Winter,Post,DWSC,Winter_413,6.2,1.47,D,0.617,Winter_DWSC_D
Winter,Post,DWSC,Winter_414,6.5,1.55,D,0.564,Winter_DWSC_D
Winter,Post,DWSC,Winter_415,5.5,0.72,D,0.433,Winter_DWSC_D
Winter,Post,DWSC,Winter_416,5.6,1.08,D,0.615,Winter_DWSC_D
Winter,Post,DWSC,Winter_417,5.5,0.66,D,0.397,Winter_DWSC_D
Winter,Post,DWSC,Winter_418,6.5,1.64,D,0.597,Winter_DWSC_D
Winter,Post,DWSC,Winter_419,6.1,1.54,D,0.678,Winter_DWSC_D
Winter,Post,DWSC,Winter_420,6.4,1.41,D,0.538,Winter_DWSC_D
Winter,Post,DWSC,Winter_421,6.2,0.78,D,0.327,Winter_DWSC_D
Winter,Post,DWSC,Winter_422,6.7,1.63,D,0.542,Winter_DWSC_D
Winter,Post,DWSC,Winter_423,7.2,2.15,D,0.576,Winter_DWSC_D
Winter,Post,DWSC,Winter_424,6.5,1.69,D,0.615,Winter_DWSC_D
Winter,Post,DWSC,Winter_425,6.5,1.56,D,0.568,Winter_DWSC_D
Winter,Post,DWSC,Winter_426,6.4,1.28,D,0.488,Winter_DWSC_D
Winter,Post,RV,Winter_427,5.6,1.16,D,0.661,Winter_RV_D
Winter,Post,RV,Winter_428,5.9,1.33,D,0.648,Winter_RV_D
Winter,Post,RV,Winter_429,5.8,1.22,D,0.625,Winter_RV_D
Winter,Post,RV,Winter_430,6.3,2.26,D,0.904,Winter_RV_D
Winter,Post,RV,Winter_431,6.5,1.72,D,0.626,Winter_RV_D
Winter,Post,RV,Winter_432,6,1.39,D,0.644,Winter_RV_D
Winter,Post,RV,Winter_433,6.8,2,D,0.636,Winter_RV_D
Winter,Post,RV,Winter_434,6.1,1.35,D,0.595,Winter_RV_D
Winter,Post,RV,Winter_435,6.5,1.65,D,0.601,Winter_RV_D
Winter,Post,RV,Winter_436,6.2,1.35,D,0.566,Winter_RV_D
Winter,Post,RV,Winter_437,6.7,1.95,D,0.648,Winter_RV_D
Winter,Post,RV,Winter_438,6.7,1.94,D,0.645,Winter_RV_D
Winter,Post,RV,Winter_439,6,1.3,D,0.602,Winter_RV_D
Winter,Post,RV,Winter_440,6,1.4,D,0.648,Winter_RV_D
Winter,Post,RV,Winter_441,4.9,0.71,D,0.603,Winter_RV_D
Winter,Post,RV,Winter_442,6.6,2.03,D,0.706,Winter_RV_D
Winter,Post,RV,Winter_443,6,1.64,D,0.759,Winter_RV_D
Winter,Post,RV,Winter_444,6,1.34,D,0.62,Winter_RV_D
Winter,Post,RV,Winter_445,5.9,1.38,D,0.672,Winter_RV_D
Winter,Post,RV,Winter_446,6.1,1.48,D,0.652,Winter_RV_D
Winter,Post,RV,Winter_447,6.6,2.2,D,0.765,Winter_RV_D
Winter,Post,RV,Winter_448,5.6,1.15,D,0.655,Winter_RV_D
Winter,Post,RV,Winter_449,6.4,1.72,D,0.656,Winter_RV_D
Winter,Post,RV,Winter_450,5.5,1.03,D,0.619,Winter_RV_D
Winter,Post,RV,Winter_451,6.4,1.86,D,0.71,Winter_RV_D
Winter,Post,RV,Winter_452,6.1,1.36,D,0.599,Winter_RV_D
Winter,Post,RV,Winter_453,5.9,1.22,D,0.594,Winter_RV_D
Winter,Post,RV,Winter_454,5.8,1.2,D,0.615,Winter_RV_D
Winter,Post,RV,Winter_455,6.1,1.36,D,0.599,Winter_RV_D
Winter,Post,RV,Winter_456,6.5,2.04,D,0.743,Winter_RV_D
Winter,Post,RV,Winter_457,6.3,1.84,D,0.736,Winter_RV_D
Winter,Post,RV,Winter_458,6,1.38,D,0.639,Winter_RV_D
Winter,Post,RV,Winter_459,5.9,1.33,D,0.648,Winter_RV_D
Winter,Post,RV,Winter_460,6.6,2.11,D,0.734,Winter_RV_D
Winter,Post,RV,Winter_461,6.2,1.47,D,0.617,Winter_RV_D
Winter,Post,RV,Winter_462,6.2,2.01,D,0.843,Winter_RV_D
