Deployment,Period,Site,ID,FL_cm,Weight_g,Cage,K,CageRep
Winter,Post,DWSC,Winter_122,6.2,1.2,B,0.504,Winter_DWSC_B
Winter,Post,DWSC,Winter_123,6.1,1.01,B,0.445,Winter_DWSC_B
Winter,Post,DWSC,Winter_124,6,1.44,B,0.667,Winter_DWSC_B
Winter,Post,DWSC,Winter_125,6,0.91,B,0.421,Winter_DWSC_B
Winter,Post,DWSC,Winter_126,6.6,1.8,B,0.626,Winter_DWSC_B
Winter,Post,DWSC,Winter_127,6.9,1.86,B,0.566,Winter_DWSC_B
Winter,Post,DWSC,Winter_128,6.2,1.37,B,0.575,Winter_DWSC_B
Winter,Post,DWSC,Winter_129,6.2,1.48,B,0.621,Winter_DWSC_B
Winter,Post,DWSC,Winter_130,6.5,1.33,B,0.484,Winter_DWSC_B
Winter,Post,DWSC,Winter_131,6.4,1.32,B,0.504,Winter_DWSC_B
Winter,Post,DWSC,Winter_132,6.2,1.11,B,0.466,Winter_DWSC_B
Winter,Post,DWSC,Winter_133,6.1,0.98,B,0.432,Winter_DWSC_B
Winter,Post,DWSC,Winter_134,6.1,1.09,B,0.48,Winter_DWSC_B
Winter,Post,DWSC,Winter_135,6.4,1.34,B,0.511,Winter_DWSC_B
Winter,Post,DWSC,Winter_136,6.2,1.49,B,0.625,Winter_DWSC_B
Winter,Post,DWSC,Winter_137,6.5,1.41,B,0.513,Winter_DWSC_B
Winter,Post,DWSC,Winter_138,6.6,1.5,B,0.522,Winter_DWSC_B
Winter,Post,DWSC,Winter_139,5.7,1.06,B,0.572,Winter_DWSC_B
Winter,Post,DWSC,Winter_140,5.8,1.57,B,0.805,Winter_DWSC_B
Winter,Post,DWSC,Winter_141,7.2,2.11,B,0.565,Winter_DWSC_B
Winter,Post,DWSC,Winter_142,6,1.19,B,0.551,Winter_DWSC_B
Winter,Post,DWSC,Winter_143,6.2,1.31,B,0.55,Winter_DWSC_B
Winter,Post,DWSC,Winter_144,5.7,1.11,B,0.599,Winter_DWSC_B
Winter,Post,DWSC,Winter_145,6.2,1.41,B,0.592,Winter_DWSC_B
Winter,Post,DWSC,Winter_146,6.5,1.88,B,0.685,Winter_DWSC_B
Winter,Post,DWSC,Winter_147,5.5,0.76,B,0.457,Winter_DWSC_B
Winter,Post,DWSC,Winter_148,6.1,1.01,B,0.445,Winter_DWSC_B
