"StationAreaID","Station","Area","AreaStr","SB_Diet_Area_Designation","Area_4","Index","MysidCB"
1,"070",,,,,0,
2,"071",,,,,,
3,"072",18,5,,9,0,0
4,"073",18,5,,9,0,0
5,"101",,,,,,
6,"102",,,,,,
7,"103",,,,,,
8,"104",,,,,,
9,"105",,,,,,
10,"106",,,,,,
11,"107",,,,,,
12,"108",,,,,,
13,"109",,,,,,
14,"110",,,,,,
15,"111",,,,,,
16,"112",,,,,,
17,"113",,,,,,
18,"201",,,,,,
19,"202",,,,,,
20,"203",,,,,,
21,"204",,,,,,
22,"205",,,,,,
23,"206",,,,,,
24,"207",,,,,,
25,"208",,,,,,
26,"209",,,,,,
27,"210",,,,,,
28,"211",,,1,,,
29,"301",,,1,,,
30,"302",,,1,,,
31,"303",8,1,1,1,,
32,"304",8,1,1,1,,
33,"305",8,1,1,1,1,0
34,"306",8,1,1,1,1,0
35,"307",8,1,1,1,1,0
36,"308",8,1,1,1,1,0
37,"309",8,1,1,1,1,0
38,"310",8,1,1,1,1,0
39,"311",8,1,1,1,1,0
40,"312",7,1,1,1,,
41,"313",7,1,1,1,,
42,"314",7,1,1,1,1,0
43,"315",7,1,1,1,1,0
44,"316",7,1,1,1,,
45,"317",,,1,,,
46,"318",,,1,,,
47,"319",,,1,,,
48,"320",,,1,,,
49,"321",3,1,1,1,1,0
50,"322",3,1,1,1,1,0
51,"323",3,1,1,1,1,0
52,"324",3,1,,1,,
53,"325",3,1,1,1,1,0
54,"326",3,1,1,1,1,0
55,"327",4,1,1,1,1,0
56,"328",4,1,1,1,1,0
57,"329",4,1,1,1,1,0
58,"330",5,1,1,1,,
59,"331",5,1,1,1,,
60,"332",5,1,1,1,,
61,"333",5,1,1,1,,
62,"334",5,1,1,1,1,0
63,"335",5,1,1,1,1,0
64,"336",1,1,1,1,1,0
65,"337",1,1,1,1,1,0
66,"338",1,1,1,1,1,0
67,"339",1,1,1,1,1,0
68,"340",10,2,1,15,1,0
69,"341",0,2,,16,0,0
70,"401",11,2,3,2,1,0
71,"402",11,2,3,2,,
72,"403",11,2,3,2,1,0
73,"404",11,2,3,2,1,0
74,"405",11,2,3,2,1,1
75,"406",11,2,3,2,1,0
76,"407",11,2,3,2,1,0
77,"408",11,2,3,2,1,0
78,"409",12,3,3,3,1,0
79,"410",12,3,3,3,1,0
80,"411",12,3,3,3,1,1
81,"412",12,3,3,3,1,0
82,"413",12,3,3,3,1,0
83,"414",12,3,3,3,1,0
84,"415",12,3,,3,1,0
85,"416",12,3,3,3,1,1
86,"417",12,3,,3,1,0
87,"418",12,3,3,3,1,1
88,"419",,,2,,,
89,"501",13,3,3,3,1,1
90,"502",13,3,4,3,1,0
91,"503",13,3,4,3,1,0
92,"504",13,3,4,3,1,1
93,"505",13,3,4,3,1,0
94,"506",13,3,4,3,,
95,"507",13,3,4,3,1,0
96,"508",13,4,4,4,1,1
97,"509",13,4,4,4,1,0
98,"510",13,4,4,4,1,0
99,"511",13,4,4,4,1,0
100,"512",13,4,4,4,1,0
101,"513",13,4,4,4,1,1
102,"514",13,4,4,4,,
103,"515",13,3,4,5,1,0
104,"516",13,3,4,5,1,0
105,"517",13,3,4,5,1,0
106,"518",13,3,4,5,1,0
107,"519",13,3,4,5,1,1
108,"601",14,3,2,6,1,0
109,"602",14,3,2,6,1,1
110,"603",14,3,2,6,1,0
111,"604",14,3,2,6,1,0
112,"605",14,3,2,7,1,0
113,"606",14,3,2,7,1,1
114,"607",14,3,2,7,,
115,"608",14,3,2,7,1,1
116,"609",,,,,,
117,"701",15,4,5,4,1,0
118,"702",15,4,5,4,,
119,"703",15,5,5,4,1,0
120,"704",15,5,5,8,1,1
121,"705",15,5,5,8,1,0
122,"706",15,5,5,8,1,1
123,"707",15,5,5,8,1,1
124,"708",15,5,5,8,1,0
125,"709",15,5,5,8,1,0
126,"710",15,5,5,8,1,0
127,"711",15,5,,8,1,1
128,"712",18,5,,17,0,0
129,"713",19,8,,14,0,0
130,"715",19,8,,14,0,0
131,"716",19,8,,14,0,1
132,"717",18,5,,9,0,0
133,"718",,,,,,
134,"719",20,9,0,10,0,1
