"StationAreaID","Station","Area","AreaStr","SB_Diet_Area_Designation","Area_4","Index","MysidCB"
135,"721",19,8,,14,0,1
136,"723",20,9,0,10,0,1
137,"724",18,5,,9,0,0
138,"725",,,,,,
139,"735",18,5,,9,0,0
140,"736",18,5,,9,0,0
141,"74",,,,,,
142,"794",,,,,,
143,"795",20,9,0,10,0,1
144,"796",20,9,0,10,0,1
145,"797",20,9,0,10,0,1
146,"798",,9,0,10,,
147,"801",,,6,,,
148,"802",16,4,6,4,1,1
149,"803",,,6,,,
150,"804",16,4,6,4,1,1
151,"805",,,6,,,
152,"806",16,6,6,4,1,0
153,"807",16,6,6,11,1,0
154,"808",16,6,6,11,1,0
155,"809",16,6,6,11,1,1
156,"810",16,6,6,11,1,0
157,"811",16,6,6,11,1,0
158,"812",16,6,6,11,1,1
159,"813",16,6,6,11,1,0
160,"814",16,6,6,11,1,0
161,"815",16,6,6,11,1,1
162,"901",17,6,7,11,,
163,"902",17,7,7,12,1,0
164,"903",17,6,7,11,1,0
165,"904",17,6,7,11,1,0
166,"905",17,6,7,11,1,0
167,"906",17,6,7,11,1,1
168,"907",17,7,7,12,,
169,"908",17,7,7,12,1,0
170,"909",17,7,7,12,1,0
171,"910",17,7,7,12,1,1
172,"911",17,7,7,12,1,0
173,"912",17,7,7,12,1,1
174,"913",17,7,7,12,1,0
175,"914",17,7,7,12,1,0
176,"915",17,7,7,12,1,0
177,"916",,,7,,,
178,"917",,,7,,,
179,"918",,,7,,,
180,"919",0,6,,13,0,1
181,"920",0,6,,13,0,0
182,"921",0,6,,13,0,0
183,"922",0,6,,13,0,0
184,"923",0,6,,13,0,0
185,"924",,,,,,
186,"925",,,,,,
