Date,Jday,RPNTmax,RPNTmin,RPNTmean,RPN7DADM,RPNDOmax,RPNDOmin,RPNDOmean,OBBmax,OBBmin,OBBmean,OBB7DADM,OWCmax,OWCmin,OWC mean,OWC 7DADM,7DADM65,
6/1/15,42156.00,78.7,70.1,74.1,,8.9,7.7,8,68,62.7,65.5,,58.85,56.48,57.734375,,65,
6/2/15,42157.00,80.1,70.8,75.1,,8.8,7.7,8.05,68.6,63.8,66.2,,59,57.2,58.131875,,65,
6/3/15,42158.00,78.9,70.6,74.8,,8.8,7.5,8.004,68.3,64.1,66.2,,58.82,57.2,58.011875,,65,
6/4/15,42159.00,79.2,69.8,74.4,,9,7.7,8.142,68.3,63.2,65.8,,59,56.66,57.86375,,65,
6/5/15,42160.00,80.9,72,76.4,,8.7,7.5,7.933,68.2,64.4,66.4,,59.72,57.38,58.3475,,65,
6/6/15,42161.00,83.3,73.6,78.2,,8.6,7.2,7.742,68.5,64.3,66.6,,59.18,57.2,58.300625,,65,
6/7/15,42162.00,84.1,74.5,79.1,80.74285714,8.4,7.2,7.608,70.1,64.6,67.3,68.57142857,59.54,57.56,58.611875,59.15857143,65,
6/8/15,42163.00,87.2,76.8,81.8,81.95714286,8.1,6.9,7.329,71.9,66.4,69,69.12857143,60.62,58.82,59.60375,59.41142857,65,
6/9/15,42164.00,83.6,78.8,81,82.45714286,8.1,6.6,7.288,70.2,67.7,68.8,69.35714286,60.44,58.82,59.555,59.61714286,65,
6/10/15,42165.00,79.4,76.3,77.4,82.52857143,8.6,6.9,7.638,68.2,65.3,66.7,69.34285714,59.72,57.74,58.47875,59.74571429,65,
6/11/15,42166.00,83.4,73.1,77.8,83.12857143,8.8,7.3,7.883,70.9,65,67.7,69.71428571,60.08,58.1,59.045,59.9,65,
6/12/15,42167.00,86.5,76,81,83.92857143,8.4,6.9,7.467,72.1,67.1,69.5,70.27142857,60.08,59.18,59.69,59.95142857,65,
6/13/15,42168.00,87.8,78.1,82.7,84.57142857,8.1,6.6,7.167,73,67.8,70.3,70.91428571,60.62,59,59.66,60.15714286,65,
6/14/15,42169.00,85.5,76.4,81,84.77142857,8.2,6.7,7.275,72,67.1,69.7,71.18571429,60.08,58.1,59.133125,60.23428571,65,
6/15/15,42170.00,83.9,75.2,79.3,84.3,,,,70.8,65.8,68.5,71.02857143,59.72,57.56,58.814375,60.10571429,65,
6/16/15,42171.00,83.5,73.8,78.6,84.28571429,,,,70.5,65.4,68,71.07142857,59.9,57.92,58.964375,60.02857143,65,
6/17/15,42172.00,84.6,74.7,79.4,85.02857143,,,,71,65.7,68.3,71.47142857,59.72,57.92,59.0975,60.02857143,65,
6/18/15,42173.00,84.4,74.8,79.3,85.17142857,,,,70.1,65,67.8,71.35714286,59.72,57.92,59.0075,59.97714286,65,
6/19/15,42174.00,82.9,73.7,78.2,84.65714286,,,,69.2,63.9,66.7,70.94285714,59.72,57.56,58.851875,59.92571429,65,
6/20/15,42175.00,82.7,74.3,78.4,83.92857143,,,,68.9,64,66.7,70.35714286,59.54,57.92,59.00375,59.77142857,65,
6/21/15,42176.00,82.2,74.3,78,83.45714286,,,,69.2,64.1,66.7,69.95714286,59.9,58.1,59.0225,59.74571429,65,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
